href,title,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/giam-thue-gtgt-nam-2024-theo-nghi-dinh-94-2023-nd-cp.html,Giảm thuế GTGT năm 2024 theo Nghị định 94/2023/NĐ-CP,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/giam-thue-gtgt-nam-2025-theo-nghi-dinh-180-2024-nd-cp.html,Giảm thuế GTGT năm 2025 theo Nghị định 180/2024/NĐ-CP,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hach-toan-hoa-don-dieu-chinh-tang-giam-doanh-thu-thue-gtgt.html,"Cách hạch toán hóa đơn điều chỉnh tăng giảm thuế GTGT, doanh thu",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hach-toan-tk-133-thue-gtgt-duoc-khau-tru-theo-thong-tu-99.html,Cách hạch toán TK 133 - Thuế GTGT được khấu trừ theo Thông tư 99,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/hoa-don-ban-hang-co-phai-ke-khai-thue-gtgt-khong.html,Hóa đơn trực tiếp có được khấu trừ thuế không?,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/hoa-don-chua-thong-bao-phat-hanh-da-su-dung.html,Hóa đơn chưa thông báo phát hành đã sử dụng,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hoa-don-chung-tu-hop-phap-hop-le-hop-ly.html,"Cách nhận biết hóa đơn GTGT hợp pháp, hợp lệ, hợp lý",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hoa-don-dien-tu-co-can-dong-dau-va-chu-ky-nguoi-mua.html,Chuyển đổi hóa đơn điện tử sang hóa đơn giấy có cần đóng dấu,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/hoa-don-dien-tu-hop-phap-khong-hop-phap.html,Quy định về Hóa đơn điện tử Hợp pháp - Không hợp pháp,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/hoa-don-dien-tu-khoi-tao-tu-may-tinh-tien.html,Hóa đơn điện tử khởi tạo từ máy tính tiền theo Nghị định 70/2025/NĐ-CP,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/hoa-don-do-co-quan-thue-dat-in-phat-hanh-cap-ban.html,"Hóa đơn do cơ quan thuế đặt in, phát hành, cấp bán theo NĐ 70/2025",gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/hoa-don-ghi-thieu-dia-chi-phuong-tinh-viet-nam.html,"Hóa đơn ghi thiếu chữ Phường, Tỉnh, Việt Nam có hợp lệ",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hoa-don-gtgt-dau-vao-ghi-dia-chi-cu-co-duoc-khong.html,Hóa đơn GTGT đầu vào ghi địa chỉ cũ có được không?,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hoa-don-gtgt-dau-vao-ke-khai-bo-sung-co-duoc-khau-tru-khong.html,Hóa đơn GTGT đầu vào kê khai bổ sung có được khấu trừ không?,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/hoa-don-gtgt-dong-dau-treo-co-hop-le-khong.html,Hóa đơn GTGT đóng dấu treo có hợp lệ không,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hoa-don-khong-chiu-thue-co-phai-ke-khai-khong.html,Hóa đơn không chịu thuế có kê khai không,gtgt-hoa-don,GTGT - Hóa đơn,thue-suat-doi-tuong,Thuế suất/Đối tượng chịu thuế,rule-thuesuat
thu-vien/hoa-don-khong-hop-phap-hoa-don-gia-hoa-don-khong.html,"Hóa đơn bất hợp pháp, hóa đơn giả, hóa đơn khống (Mức phạt vi phạm)",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
