href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/cong-van-348-ct-cs-gioi-thieu-noi-dung-moi-tai-nd-70-2025.html,Công văn 348/CT-CS giới thiệu nội dung mới tại Nghị định 70/2025/NĐ-CP,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-3609-tct-cs-gioi-hieu-noi-dung-tt-119-2014-tt-btc.html,Công văn 3609/TCT-CS giới hiệu nội dung Thông tư 119/2014/TT-BTC,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-3706-tct-kk-gioi-thieu-noi-dung-thong-tu-95.html,Công văn 3706/TCT-KK giới thiệu nội dung Thông tư 95,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-3723-tct-kk-quy-dinh-ve-viec-su-dung-hoa-don-gtgt.html,Công văn 3723/TCT-KK Quy định về việc sử dụng hóa đơn GTGT,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-3789-tct-cs-xu-phat-lam-mat-hoa-don-theo-hanh-vi.html,Công văn 3789/TCT-CS Xử phạt làm mất hóa đơn theo hành vi,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-4153-tct-cs-cach-viet-hoa-don-giam-30-thue-gtgt.html,Công văn 4153/TCT-CS hướng dẫn viết hoá đơn giảm 30% thuế GTGT,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-4291-tct-cs-cho-phep-viet-tat-tren-hoa-don-gtgt.html,Công văn 4291/TCT-CS Cho phép viết tắt trên hóa đơn GTGT,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-457-cthn-ttht-hoa-don-dien-tu-chiet-khau-thuong-mai.html,Công văn 457/CTHN-TTHT hóa đơn điện tử chiết khấu thương mại,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-4613-ct-cs-khong-nop-thue-van-phai-ke-khai.html,Hộ cá nhân kinh doanh không phải nộp thuế vẫn phải nộp tờ khai,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
thu-vien/cong-van-4818-tct-pc-diem-moi-muc-phat-ve-hoa-don-thue.html,"Công văn 4818/TCT-PC những điểm mới mức phạt về hóa đơn, thuế",thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-4868-tct-cs-nhung-noi-dung-moi-cua-nghi-dinh-123.html,Công văn 4868/TCT-CS Những nội dung mới của Nghị định 123,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
