href,title,libraryKindLabel,from_topicLv1Key,from_topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv1Key,to_topicLv1Label,reason
thu-vien/cong-van-5286-ct-tncn-huong-dan-quyet-toan-thue-tncn-2016.html,Công văn 5286/CT-TNCN hướng dẫn Quyết toán thuế TNCN 2016,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-5485-btc-tct-dang-ky-ke-khai-thue-theo-pp-khau-tru.html,Công văn 5485/BTC-TCT đăng ký kê khai thuế theo pp khấu trừ,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-560-ldtbxh-bhxh-tien-luong-thang-13-ko-phai-dong-bhxh.html,Công văn 560/LĐTBXH-BHXH Tiền thưởng lương tháng 13 có phải đóng BHXH?,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/cong-van-7040-ct-tncn-huong-dan-quyet-toan-thue-tncn-2018.html,Công văn 7040/CT-TNCN Hướng dẫn Quyết toán thuế TNCN 2018,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-767-tct-cs-gioi-thieu-noi-dung-moi-thong-tu-26.html,Công văn 767/TCT-CS giới thiệu nội dung mới của Thông tư 26/2015/TT-BTC,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-786-tct-cs-ca-nhan-gop-von-duoc-dung-tien-mat.html,Công văn 786/TCT-CS Cá nhân góp vốn có thể dùng tiền mặt,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-801-tct-tncn-ngay-2-3-2016-huong-dan-quyet-toan-thue-tncn.html,Công văn 801/TCT- TNCN Hướng dẫn quyết toán thuế TNCN năm 2015,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-845-tct-cntt-ke-hach-nang-cap-htkk-dap-ung-133.html,Công văn 845/TCT-CNTT kế hoạch nâng cấp HTKK đáp ứng TT 133,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-897-tct-qln-ve-viec-gia-han-nop-thue-do-covid.html,Công văn 897/TCT-QLN về việc gia hạn nộp thuế do Covid,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-huong-dan-ke-khai-hoa-don-dieu-chinh-hoa-don-thay-the.html,"Công văn hướng dẫn kê khai hóa đơn điều chỉnh, thay thế, bỏ sót",Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-huong-dan-quyet-toan-thue-tncn-2026.html,Công văn hướng dẫn quyết toán thuế TNCN 2026 cho năm 2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-huong-dan-quyet-toan-thue-tncn.html,Công văn hướng dẫn quyết toán thuế TNCN 2024 vào năm 2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-huong-dan-ve-thue-thu-nhap-ca-nhan.html,Các công văn hướng dẫn về thuế TNCN đáng chú ý nhất năm 2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-1685-tct-cs-quy-dinh-phu-cap-tien-dien-thoai-cho-nhan-vien.html,Công văn số 1685/TCT-CS quy định chi phí điện thoại cho nhân viên,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-17557-btc-tct-trien-khai-thuc-hien-luat-thue-gtgt.html,Công văn Số 17557/BTC-TCT triển khai thực hiện luật thuế GTGT,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-17940-sldtbxh-vl-quy-dinh-ve-lao-dong.html,Công văn Số 17940/SLĐTBXH-VL quy định về lao động,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-17963-btc-tct-tinh-thue-gtgt-theo-ty-le.html,Công văn số 17963/BTC-TCT tính thuế GTGT theo tỷ lệ %,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-18128-btc-tct-trien-khai-thuc-hien-luat-thue-gtgt.html,Công văn số 18128 /BTC-TCT triển khai thực hiện Luật thuế GTGT,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-1839-tct-cs-nhung-noi-dung-moi-cua-tt-39.html,Công văn số 1839/TCT–CS Những nội dung mới của TT 39,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-4064-bhxh-thu-quy-dinh-ve-bhxh-bhyt-bhtn.html,"Công văn số 4064/BHXH-THU chính sách về BHXH, BHYT, BHTN",Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/cong-van-so-431-tct-tvqt-quy-dinh-hoa-don-ban-hang.html,Công văn số 431/TCT-TVQT ngày 14/2/2014 về quản lý và sử dụng hóa đơn (bán hàng),Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-4716-tct-cs-gioi-thieu-noi-dung-thong-tu-151-2014-tt-btc.html,Công văn Số 4716/TCT-CS giới thiệu nội dung Thông tư 151/2014/TT-BTC,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
