href,title,from_topicLv1Key,from_topicLv1Label,from_topicLv2Key,from_topicLv2Label,to_topicLv1Key,to_topicLv1Label,to_topicLv2Key,to_topicLv2Label,reason
thu-vien/quy-dinh-ve-viec-kiem-ke-tai-san-hang-nam.html,Quy định về việc kiểm kê tài sản hàng năm,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,rule-ketoan-kho
thu-vien/quy-trinh-kiem-tra-thue.html,Quy trình kiểm tra thuế áp dụng từ 14/7/2023,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/thay-doi-dia-diem-kinh-doanh-can-lam-thu-tuc-gi.html,"Thủ tục thuế khi thay đổi tên công ty, địa điểm kinh doanh",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,rule-dn-thutuc
thu-vien/thoi-han-gop-von-cua-cong-ty-co-phan-tnhh-1-2-thanh-vien.html,"Quy định về thời hạn góp vốn điều lệ công ty TNHH, cổ phần",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,rule-dn-thutuc
thu-vien/thoi-hieu-xu-phat-vi-pham-hanh-chinh-ve-thue.html,Thời hiệu xử phạt vi phạm hành chính về thuế mới nhất 2025,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/thu-tuc-dang-ky-hoi-cho-trien-lam-thuong-mai.html,"Thủ tục đăng ký tổ chức, tham gia hội chợ, triển lãm thương mại",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,rule-dn-thutuc
thu-vien/thu-tuc-giai-the-cong-ty-doanh-nghiep-voi-co-quan-thue.html,"Thủ tục giải thể doanh nghiệp, công ty mới nhất",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,rule-dn-thutuc
thu-vien/thu-tuc-lam-ho-so-ke-khai-thue-ban-dau.html,Thủ tục hồ sơ khai thuế ban đầu 2021 Cty mới thành lập,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,rule-thue-mst
thu-vien/thu-tuc-thanh-lap-hoi-dong-thuong-luong-tap-the.html,Thủ tục Thành lập Hội đồng thương lượng tập thể 2025,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,rule-laodong-luong
thu-vien/thu-tuc-thay-doi-chu-tich-hoi-dong-thuong-luong-tap-the.html,Thủ tục Thay đổi Chủ tịch Hội đồng thương lượng tập thể,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,rule-laodong-luong
thu-vien/thu-tuc-thong-bao-khuyen-mai-so-cong-thuong.html,Thủ tục thông báo khuyến mại với Sở Công Thương về chương trình hoạt động khuyến mại,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,rule-dn-thutuc
thu-vien/thuong-luong-tap-the-la-gi-co-bat-buoc-khong-quy-trinh-thuong-luong.html,Thương lượng tập thể là gì? có bắt buộc không? Quy trình thương lượng tập thể tại DN,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,rule-laodong-luong
thu-vien/tinh-tiet-giam-nhe-tinh-tiet-tang-nang-vi-pham-hanh-chinh-thue.html,Tình tiết giảm nhẹ - tăng nặng vi phạm hành chính thuế,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/tong-hop-cac-chinh-sach-thue-nam-2014-do-tong-cuc-thue-bien-soan.html,Tổng hợp các chính sách Thuế năm 2014 do Tổng Cục Thuế biên soạn,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/tro-cap-mat-viec-lam-dieu-kien-huong-cach-tinh-muc-huong.html,"Trợ cấp mất việc làm: điều kiện hưởng, cách tính mức hưởng 2026",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,rule-laodong-luong
thu-vien/tuoi-nghi-huu-cua-nu-nam-gioi-nam-2024-moi-nhat.html,"Tuổi nghỉ hưu của nữ, nam giới năm 2026 mới nhất",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,rule-laodong-luong
thu-vien/uy-quyen-cho-nhan-vien-thanh-toan-tien-mua-hang-hoa-dich-vu.html,"Ủy quyền cho cá nhân, nhân viên thanh toán tiền mua hàng hóa dịch vụ",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,rule-ketoan-kho
